"","unitid","year","fips","student_faculty_ratio"
"528",129002,2018,9,8
"529",129020,2018,9,16
"530",129154,2018,9,10
"531",129181,2018,9,21
"532",129215,2018,9,15
"533",129242,2018,9,12
"534",129349,2018,9,15
"535",129367,2018,9,14
"536",129482,2018,9,15
"537",129525,2018,9,9
"538",129534,2018,9,5
"539",129543,2018,9,18
"540",129695,2018,9,16
"541",129729,2018,9,14
"542",129756,2018,9,15
"543",129774,2018,9,15
"544",129808,2018,9,16
"545",129923,2018,9,14
"546",129932,2018,9,20
"547",129941,2018,9,16
"548",130004,2018,9,18
"549",130040,2018,9,14
"550",130110,2018,9,3
"551",130174,2018,9,6
"552",130183,2018,9,20
"553",130217,2018,9,14
"554",130226,2018,9,14
"555",130253,2018,9,13
"556",130314,2018,9,8
"557",130396,2018,9,16
"558",130493,2018,9,14
"559",130509,2018,9,12
"560",130590,2018,9,9
"561",130606,2018,9,16
"562",130624,2018,9,7
"563",130697,2018,9,8
"564",130776,2018,9,13
"565",130794,2018,9,6
"566",130837,2018,10,5
"567",130873,2018,10,9
"568",130907,2018,10,12
"569",130934,2018,10,15
"570",130943,2018,10,15
"571",130989,2018,10,20
"572",131061,2018,10,13
"573",131098,2018,10,12
"574",131113,2018,10,12
"575",131159,2018,11,12
"576",131283,2018,11,7
"577",131399,2018,11,9
"578",131450,2018,11,6
"579",131469,2018,11,13
"580",131496,2018,11,11
"581",131520,2018,11,10
"582",131803,2018,11,29
"583",131830,2018,11,6
"584",131876,2018,11,12
"585",132374,2018,12,18
"586",132408,2018,12,8
"587",132471,2018,12,12
"588",132602,2018,12,17
"589",132657,2018,12,18
"590",132675,2018,12,6
"591",132693,2018,12,17
"592",132709,2018,12,30
"593",132842,2018,12,15
"594",132851,2018,12,20
"595",132879,2018,12,10
"596",132903,2018,12,30
"597",132976,2018,12,10
"598",133021,2018,12,12
"599",133155,2018,12,20
"600",133386,2018,12,18
"601",133465,2018,12,14
"602",133492,2018,12,12
"603",133508,2018,12,30
"604",133526,2018,12,23
"605",133553,2018,12,17
"606",133650,2018,12,16
"607",133669,2018,12,21
"608",133702,2018,12,25
"609",133711,2018,12,18
"610",133809,2018,12,13
"611",133845,2018,12,38
"612",133854,2018,12,36
"613",133863,2018,12,40
"614",133872,2018,12,7
"615",133881,2018,12,14
"616",133942,2018,12,19
"617",133951,2018,12,26
"618",133960,2018,12,11
"619",133979,2018,12,14
"620",133997,2018,12,15
"621",134024,2018,12,9
"622",134079,2018,12,14
"623",134097,2018,12,21
"624",134112,2018,12,35
"625",134130,2018,12,18
"626",134228,2018,12,9
"627",134237,2018,12,26
"628",134291,2018,12,19
"629",134307,2018,12,14
"630",134343,2018,12,19
"631",134495,2018,12,24
"632",134510,2018,12,12
"633",134529,2018,12,14
"634",134574,2018,12,15
"635",134608,2018,12,26
"636",134714,2018,12,6
"637",134811,2018,12,22
"638",134945,2018,12,11
"639",135081,2018,12,12
"640",135142,2018,12,20
"641",135160,2018,12,17
"642",135179,2018,12,18
"643",135188,2018,12,24
"644",135267,2018,12,20
"645",135276,2018,12,20
"646",135294,2018,12,15
"647",135337,2018,12,24
"648",135364,2018,13,22
"649",135391,2018,12,21
"650",135407,2018,12,9
"651",135522,2018,12,6
"652",135559,2018,12,10
"653",135610,2018,12,7
"654",135647,2018,12,15
"655",135717,2018,12,19
"656",135726,2018,12,12
"657",135735,2018,12,15
"658",135771,2018,12,7
"659",136109,2018,12,15
"660",136145,2018,12,18
"661",136172,2018,12,19
"662",136215,2018,12,17
"663",136233,2018,12,27
"664",136303,2018,12,9
"665",136330,2018,12,12
"666",136358,2018,12,24
"667",136400,2018,12,34
"668",136473,2018,12,22
